name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,is_explicit,ranking
SLOW DANCING IN THE DARK,0.517,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.968,4,209274,1,1
I KNOW ?,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,4,211582,1,2
Sky,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,4,193234,1,3
ZEZE (feat. Travis Scott & Offset),0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,4,228760,1,4
ORANGE SODA,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,4,129882,1,5
Sorry Bout That,0.73,0.643,6,-7.811,0,0.0984,8.47e-05,0.0,0.203,0.492,141.961,4,186018,1,6
Praise The Lord (Da Shine) (feat. Skepta),0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,205040,1,7
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,4,215467,1,8
Drip or Drown,0.952,0.478,5,-8.52,0,0.361,0.774,0.0,0.112,0.568,118.008,4,126168,1,9
Monëy so big,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,4,160052,1,10
5% TINT,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,4,196138,1,11
Around Me (feat. Don Toliver),0.695,0.669,2,-3.447,0,0.0394,0.0881,0.0137,0.513,0.063,119.986,4,191520,1,12
Space Cadet (feat. Gunna),0.901,0.464,5,-9.789,0,0.0645,0.368,1.82e-05,0.238,0.638,109.004,4,203267,1,13
IDGAF (feat. Yeat),0.673,0.672,8,-8.577,1,0.224,0.0466,0.000284,0.193,0.14,136.902,4,260111,1,14
All The Stars (with SZA),0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,232187,1,15
Trance (with Travis Scott & Young Thug),0.765,0.552,1,-7.524,0,0.309,0.175,0.0,0.193,0.492,119.476,4,194787,1,16
Rich Nigga Shit (feat. Young Thug),0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,4,190331,1,17
OUT WEST (feat. Young Thug),0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,4,157712,1,18
500lbs,0.724,0.779,7,-5.412,0,0.0807,0.098,0.0,0.127,0.53,123.013,4,144390,1,19
TOPIA TWINS (feat. Rob49 & 21 Savage),0.715,0.567,1,-4.481,0,0.0865,0.06,0.0,0.0655,0.332,160.098,4,223174,1,20
Bane,0.568,0.768,5,-5.93,0,0.0358,0.151,0.0,0.106,0.362,118.865,4,140832,1,21
HOTEL LOBBY (Unc & Phew),0.823,0.638,11,-4.377,1,0.156,0.132,0.0,0.228,0.155,127.984,4,142657,1,22
Dior,0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4,216387,1,23
bigger thën everything,0.686,0.629,10,-6.141,0,0.0543,0.0127,0.000349,0.237,0.169,149.975,4,218264,1,24
Too Many Nights (feat. Don Toliver & with Future),0.573,0.668,7,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,4,199920,1,25
Hot (feat. Gunna),0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,4,193027,1,26
Search & Rescue,0.828,0.441,10,-8.562,0,0.0685,0.0757,8.68e-06,0.295,0.533,140.009,4,272113,1,27
Bad and Boujee (feat. Lil Uzi Vert),0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,4,343150,1,28
Knife Talk (with 21 Savage ft. Project Pat),0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,4,242966,1,29
Titanium,0.959,0.394,0,-8.687,0,0.437,0.152,1.38e-06,0.105,0.51,121.008,4,127750,1,30
Kat Food,0.753,0.649,7,-5.354,1,0.467,0.138,0.0,0.0849,0.781,175.996,4,286579,1,31
Nightcrawler (feat. Swae Lee & Chief Keef),0.522,0.731,3,-3.803,0,0.0325,0.0013,0.0,0.132,0.179,124.055,4,321560,1,32
Overdue (with Travis Scott),0.634,0.401,11,-11.212,0,0.0446,0.731,0.000132,0.334,0.494,150.174,4,166093,1,33
Shut up My Moms Calling,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,4,164571,0,34
Not Like Us,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,274192,1,35
family ties (with Kendrick Lamar),0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,4,252262,1,36
NOSTYLIST,0.567,0.773,11,-5.166,0,0.0775,0.0396,0.0,0.111,0.496,160.08,4,180000,1,37
Jimmy Cooks (feat. 21 Savage),0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,218365,1,38
I Feel It Coming,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,4,269187,0,39
Private Landing (feat. Justin Bieber & Future),0.858,0.641,1,-4.31,0,0.0954,0.111,2.12e-05,0.109,0.445,136.991,4,238253,1,40
Babydoll,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007,4,97960,0,41
Bent,0.861,0.617,2,-7.381,1,0.291,0.401,0.0,0.402,0.258,124.053,4,170268,1,42
Yale,0.728,0.442,1,-10.095,1,0.0565,0.000487,8.21e-06,0.149,0.441,142.025,4,106536,1,43
N95,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,4,195950,1,44
Raindrops (Insane) [with Travis Scott],0.804,0.539,7,-5.949,0,0.0391,0.0972,0.0,0.347,0.12,111.975,4,188587,1,45
My wrist (with Young Thug),0.782,0.629,0,-7.242,1,0.0855,0.00382,0.00676,0.268,0.309,137.031,4,190133,1,46
Walk It Talk It,0.908,0.633,2,-5.145,1,0.183,0.0859,2.31e-06,0.106,0.395,145.914,4,276147,1,47
Glock In My Lap,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,4,193591,1,48
Sprinter,0.918,0.681,1,-4.705,1,0.201,0.263,0.0,0.0615,0.706,139.057,4,229133,1,49
Runnin,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4,195906,1,50
